"No.","Time","Source","Destination","Protocol","Length","Info"
"2061","125.727330","192.168.1.254","192.168.1.169","ICMP","60","Echo (ping) request  id=0xbeef, seq=0/0, ttl=64 (reply in 2064)"
"2064","125.727754","192.168.1.169","192.168.1.254","ICMP","60","Echo (ping) reply    id=0xbeef, seq=0/0, ttl=64 (request in 2061)"
"3896","226.923011","192.168.1.161","192.168.1.254","ICMP","70","Destination unreachable (Port unreachable)"
"5536","336.075697","192.168.1.169","23.64.119.60","ICMP","98","Echo (ping) request  id=0x0454, seq=1/256, ttl=64 (reply in 5537)"
"5537","336.091481","23.64.119.60","192.168.1.169","ICMP","98","Echo (ping) reply    id=0x0454, seq=1/256, ttl=54 (request in 5536)"
"5549","337.078983","192.168.1.169","23.64.119.60","ICMP","98","Echo (ping) request  id=0x0454, seq=2/512, ttl=64 (reply in 5550)"
"5550","337.105438","23.64.119.60","192.168.1.169","ICMP","98","Echo (ping) reply    id=0x0454, seq=2/512, ttl=54 (request in 5549)"
"5577","338.080242","192.168.1.169","23.64.119.60","ICMP","98","Echo (ping) request  id=0x0454, seq=3/768, ttl=64 (reply in 5578)"
"5578","338.096108","23.64.119.60","192.168.1.169","ICMP","98","Echo (ping) reply    id=0x0454, seq=3/768, ttl=54 (request in 5577)"
"5584","339.082644","192.168.1.169","23.64.119.60","ICMP","98","Echo (ping) request  id=0x0454, seq=4/1024, ttl=64 (reply in 5585)"
"5585","339.132123","23.64.119.60","192.168.1.169","ICMP","98","Echo (ping) reply    id=0x0454, seq=4/1024, ttl=54 (request in 5584)"
"5597","340.084899","192.168.1.169","23.64.119.60","ICMP","98","Echo (ping) request  id=0x0454, seq=5/1280, ttl=64 (reply in 5598)"
"5598","340.106261","23.64.119.60","192.168.1.169","ICMP","98","Echo (ping) reply    id=0x0454, seq=5/1280, ttl=54 (request in 5597)"
